"","name","scientificName","genus","species","decimalLongitude","decimalLatitude","country"
"202","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",29.03333,-22.46667,"South Africa"
"203","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",29.03333,-22.46667,"South Africa"
"204","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",29.03333,-22.46667,"South Africa"
"205","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",25.71667,-28.16667,"South Africa"
"206","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",29.76667,-22.73333,"South Africa"
"207","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",28.75,-25.15,"South Africa"
"208","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",20.83333,-25.2,"South Africa"
"209","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",13.83333,-20.4,"Namibia"
"210","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",39.45,-4.21667,"Kenya"
"211","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"212","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",32.08333,-27.56667,"South Africa"
"213","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",NA,NA,NA
"214","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",32.03333,-27.6,"South Africa"
"215","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"South Africa"
"216","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.86667,-25.96667,"South Africa"
"217","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",25.8,-20.88333,"Botswana"
"218","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",23.82729,-19.11662,"Botswana"
"219","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"South Africa"
"220","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,NA
"221","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"United States"
"222","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.36667,-27.5,"South Africa"
"223","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",17.75,-27.58333,"Namibia"
"224","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"225","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",21.01667,-28.65,"South Africa"
"226","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",29.93333,-24.26667,"South Africa"
"227","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",29.93333,-24.26667,"South Africa"
"228","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",29.93333,-24.26667,"South Africa"
"229","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"230","Psammobates oculifer","Psammobates oculifer Kuhl, 1820","Psammobates","Psammobates oculifer",NA,NA,"Botswana"
"231","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"232","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"233","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",38.25246,-2.7524,"Kenya"
"234","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"Kenya"
"235","Psammobates oculifer","Psammobates oculifer Kuhl, 1820","Psammobates","Psammobates oculifer",NA,NA,"Namibia"
"236","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"237","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"238","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"239","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"South Africa"
"240","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
